"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Portage la Prairie (CA), Manitoba","13,333","13,282","13,355","13,573","13,261","13,064","13,031","13,062","13,078","13,210","13,212","13,158","13,096","13,222","13,300","13,630","13,575","13,532","13,486","13,495"
"Brandon (CA), Manitoba","49,250","49,249","49,600","50,208","50,710","51,376","52,027","53,079","53,888","55,296","55,927","56,607","57,256","58,052","58,873","59,849","60,867","61,507","62,452","63,188"
"Thompson (CA), Manitoba","13,673","13,742","13,827","13,938","13,939","13,936","13,823","13,697","13,533","13,500","13,436","13,484","13,532","13,688","13,907","14,187","14,462","14,483","14,300","14,092"
"Yorkton (CA), Saskatchewan","17,944","17,926","17,838","17,893","17,757","17,807","17,913","18,193","18,495","18,632","18,662","18,942","19,204","19,401","19,257","19,477","19,553","19,602","19,672","19,489"
"Moose Jaw (CA), Saskatchewan","34,220","34,141","34,421","34,602","34,352","34,074","34,208","34,597","34,920","35,072","35,341","35,557","35,600","35,696","35,723","36,108","36,267","36,336","35,988","35,732"
"Swift Current (CA), Saskatchewan","16,865","16,737","16,791","16,913","16,867","16,937","17,006","17,286","17,575","17,936","18,010","18,215","18,435","18,635","18,871","19,099","19,274","19,392","19,462","19,386"
"North Battleford (CA), Saskatchewan","19,056","18,914","18,783","18,614","18,340","18,198","18,357","18,662","19,047","19,317","19,381","19,567","19,802","19,879","19,935","20,193","20,092","19,901","19,638","19,457"
"Prince Albert (CA), Saskatchewan","43,453","43,236","43,080","43,079","42,856","42,672","43,072","43,691","44,264","44,726","44,877","45,044","45,205","45,190","45,287","45,673","46,111","46,109","46,382","46,609"
"Estevan (CA), Saskatchewan","12,377","12,317","12,314","12,227","12,210","12,229","12,450","12,660","12,929","13,206","13,398","13,728","14,138","14,308","14,167","14,059","13,846","13,757","13,716","13,603"
"Weyburn (CA), Saskatchewan","9,770","9,739","9,738","9,689","9,655","9,661","9,767","10,009","10,280","10,564","10,770","10,922","11,090","11,213","11,203","11,201","11,261","11,253","11,196","11,145"
